iter	Passed	Remaining
128	55197	308504
129	55626	308086
130	56063	307704
131	56497	307309
132	56911	306806
133	57339	306380
134	57733	305771
135	58150	305291
136	58569	304820
137	58933	304062
138	59358	303624
139	59789	303219
140	60218	302801
141	60634	302319
142	60979	301484
143	61393	301000
144	61791	300436
145	62195	299903
146	62636	299548
147	63023	298936
148	63436	298451
149	63847	297954
150	64293	297621
151	64730	297250
152	65132	296716
153	65519	296116
154	65938	295661
155	66368	295255
156	66783	294783
157	67198	294311
158	67621	293877
159	68027	293369
160	68433	292860
161	68854	292420
162	69274	291973
163	69706	291576
164	70101	291026
165	70461	290334
166	70885	289909
167	71302	289454
168	71722	289010
169	72139	288556
170	72539	288035
171	72944	287535
172	73358	287075
173	73770	286601
174	74169	286083
175	74579	285605
176	74955	285000
177	75382	284591
178	75789	284104
179	76197	283625
180	76572	283022
181	76985	282560
182	77409	282143
183	77760	281460
184	78139	280880
185	78554	280432
186	78972	279992
187	79385	279537
188	79810	279126
189	80213	278637
190	80598	278084
191	81027	277688
192	81409	277128
193	81810	276636
194	82219	276172
195	82642	275756
196	83054	275302
197	83461	274833
198	83870	274370
199	84302	273983
200	84722	273556
201	85135	273107
202	85547	272655
203	85967	272230
204	86363	271728
205	86767	271252
206	87134	270663
207	87536	270185
208	87922	269657
209	88346	269246
210	88783	268875
211	89185	268398
212	89585	267916
213	89973	267398
214	90398	266990
215	90801	266518
216	91233	266132
217	91550	265412
218	91943	264913
219	92308	264337
220	92749	263978
221	93134	263460
222	93549	263029
223	93919	262471
224	94315	261986
225	94723	261537
226	95073	260927
227	95419	260310
228	95828	259867
229	96184	259281
230	96554	258732
231	96968	258304
232	97334	257749
233	97744	257309
234	98147	256853
235	98482	256222
236	98872	255733
237	99280	255292
238	99711	254910
239	100068	254341
240	100486	253926
241	100903	253509
242	101269	252965
243	101685	252547
244	102076	252065
245	102491	251646
246	102906	251226
247	103281	250707
248	103649	250173
249	104037	249690
250	104388	249119
251	104817	248734
252	105168	248163
253	105565	247705
254	105977	247281
255	106401	246885
256	106790	246407
257	107137	245834
258	107534	245377
259	107860	244760
260	108249	244287
261	108666	243878
262	108996	243272
263	109409	242855
264	109758	242295
265	110140	241812
266	110513	241308
267	110891	240816
268	111298	240388
269	111678	239901
270	112071	239444
271	112496	239054
272	112879	238577
273	113229	238030
274	113584	237495
275	113975	237035
276	114379	236605
277	114727	236058
278	115099	235561
279	115510	235145
280	115881	234650
281	116233	234115
282	116613	233638
283	117012	233200
284	117384	232709
285	117778	232262
286	118148	231767
287	118561	231358
288	118918	230841
289	119257	230289
290	119564	229679
291	119929	229180
292	120329	228750
293	120710	228281
294	121038	227715
295	121392	227201
296	121785	226759
297	122178	226316
298	122543	225823
299	122938	225386
300	123314	224915
301	123661	224391
302	124031	223911
303	124455	223528
304	124855	223103
305	125229	222629
306	125622	222191
307	126049	221814
308	126412	221324
309	126799	220877
310	127147	220362
311	127540	219926
312	127904	219439
313	128248	218920
314	128613	218438
315	128996	217987
316	129381	217539
317	129760	217083
318	130158	216658
319	130510	216157
320	130846	215632
321	131259	215233
322	131656	214807
323	132046	214371
324	132441	213943
325	132814	213480
326	133138	212939
327	133531	212510
328	133863	211984
329	134191	211453
330	134571	211004
331	134945	210547
332	135344	210129
333	135745	209713
334	136136	209284
335	136494	208804
336	136868	208348
337	137267	207932
338	137665	207513
339	138043	207064
340	138408	206597
341	138778	206139
342	139166	205707
343	139537	205249
344	139935	204832
345	140245	204288
346	140648	203880
347	141028	203437
348	141416	203008
349	141793	202561
350	142186	202139
351	142536	201656
352	142911	201210
353	143321	200812
354	143706	200379
355	144014	199840
356	144395	199403
357	144784	198978
358	145184	198567
359	145453	197978
360	145806	197505
361	146178	197057
362	146517	196568
363	146883	196113
364	147253	195665
365	147606	195194
366	148004	194785
367	148400	194371
368	148775	193932
369	149169	193516
370	149493	193011
371	149818	192508
372	150191	192067
373	150556	191616
374	150896	191135
375	151272	190700
376	151629	190241
377	151920	189699
378	152271	189234
379	152631	188781
380	152920	188240
381	153235	187733
382	153629	187323
383	153948	186822
384	154305	186368
385	154658	185910
386	155051	185501
387	155428	185071
388	155783	184617
389	156159	184187
390	156495	183712
391	156843	183250
392	157208	182810
393	157586	182384
394	157896	181880
395	158263	181443
396	158667	181048
397	159065	180647
398	159442	180221
399	159805	179781
400	160179	179353
401	160544	178915
402	160891	178457
403	161268	178033
404	161631	177595
405	161997	177159
406	162360	176721
407	162754	176317
408	163129	175892
409	163521	175486
410	163820	174981
411	164222	174585
412	164527	174088
413	164862	173623
414	165227	173190
415	165582	172747
416	165942	172309
417	166183	171749
418	166498	171266
419	166819	170791
420	167055	170230
421	167403	169784
422	167728	169315
423	168076	168869
424	168442	168442
425	168809	168016
426	169144	167560
427	169541	167164
428	169924	166756
429	170246	166287
430	170601	165851
431	170897	165358
432	171220	164893
433	171573	164457
434	171939	164034
435	172285	163591
436	172563	163086
437	172824	162565
438	173220	162172
439	173442	161616
440	173736	161129
441	174091	160699
442	174426	160251
443	174739	159784
444	175007	159276
445	175337	158825
446	175605	158319
447	175947	157881
448	176291	157445
449	176623	156998
450	176991	156584
451	177302	156120
452	177672	155708
453	177935	155203
454	178185	154688
455	178502	154232
456	178781	153743
457	179082	153275
458	179309	152745
459	179688	152344
460	180002	151889
461	180325	151442
462	180651	150998
463	181024	150593
464	181356	150155
465	181741	149761
466	182012	149273
467	182357	148847
468	182585	148326
469	182915	147889
470	183262	147466
471	183624	147055
472	184038	146686
473	184370	146251
474	184615	145749
475	184940	145310
476	185329	144922
477	185692	144514
478	186020	144078
479	186334	143633
480	186710	143235
481	186944	142729
482	187283	142304
483	187674	141919
484	188019	141499
485	188275	141013
486	188577	140561
487	188821	140068
488	189166	139650
489	189511	139232
490	189826	138793
491	190086	138315
492	190382	137863
493	190624	137373
494	190990	136973
495	191358	136574
496	191697	136155
497	191927	135659
498	192310	135272
499	192639	134847
500	192962	134419
501	193255	133970
502	193466	133464
503	193765	133021
504	193976	132518
505	194363	132136
506	194580	131639
507	194825	131162
508	195175	130756
509	195385	130256
510	195743	129857
511	196060	129430
512	196394	129015
513	196672	128564
514	196886	128071
515	197180	127632
516	197541	127236
517	197882	126828
518	198189	126398
519	198401	125908
520	198697	125473
521	199042	125068
522	199380	124660
523	199654	124212
524	199901	123748
525	200278	123365
526	200664	122987
527	201014	122588
528	201337	122172
529	201685	121772
530	201993	121348
531	202293	120919
532	202558	120471
533	202832	120028
534	203056	119556
535	203374	119141
536	203613	118679
537	203998	118303
538	204281	117869
539	204544	117423
540	204794	116971
541	205080	116540
542	205327	116087
543	205678	115694
544	205911	115234
545	206187	114800
546	206546	114412
547	206776	113953
548	207137	113567
549	207424	113140
550	207712	112715
551	207930	112252
552	208233	111835
553	208479	111389
554	208790	110978
555	209022	110526
556	209244	110069
557	209553	109658
558	209920	109278
559	210286	108898
560	210639	108511
561	210974	108115
562	211225	107676
563	211510	107255
564	211751	106812
565	212059	106404
566	212315	105970
567	212560	105531
568	212776	105079
569	213006	104634
570	213329	104236
571	213660	103842
572	213918	103412
573	214269	103028
574	214509	102591
575	214858	102206
576	215129	101785
577	215481	101402
578	215825	101016
579	216111	100603
580	216453	100216
581	216691	99782
582	216948	99357
583	217206	98933
584	217450	98503
585	217717	98084
586	218061	97700
587	218440	97332
588	218771	96942
589	219110	96557
590	219392	96146
591	219777	95781
592	220097	95387
593	220339	94961
594	220580	94534
595	220882	94134
596	221149	93719
597	221377	93289
598	221743	92917
599	222125	92552
600	222436	92157
601	222810	91789
602	223174	91416
603	223385	90981
604	223633	90562
605	223897	90149
606	224148	89733
607	224462	89342
608	224724	88930
609	225031	88537
610	225261	88113
611	225614	87739
612	225855	87321
613	226179	86935
614	226502	86549
615	226765	86141
616	227072	85750
617	227306	85331
618	227538	84913
619	227772	84496
620	228107	84117
621	228350	83703
622	228561	83279
623	228832	82878
624	229185	82506
625	229460	82107
626	229803	81732
627	230174	81367
628	230412	80955
629	230619	80533
630	230992	80170
631	231201	79749
632	231563	79382
633	231819	78979
634	232173	78609
635	232448	78213
636	232668	77799
637	232890	77386
638	233230	77013
639	233577	76642
640	233930	76273
641	234211	75881
642	234498	75491
643	234789	75103
644	235048	74705
645	235254	74290
646	235483	73884
647	235817	73511
648	236102	73122
649	236423	72745
650	236803	72386
651	237163	72022
652	237375	71612
653	237685	71232
654	237895	70823
655	238153	70429
656	238475	70054
657	238872	69701
658	239082	69293
659	239384	68913
660	239599	68508
661	239825	68107
662	240059	67709
663	240322	67319
664	240548	66919
665	240815	66531
666	241205	66177
667	241493	65796
668	241774	65412
669	242079	65036
670	242410	64666
671	242703	64287
672	242940	63893
673	243183	63501
674	243449	63116
675	243726	62734
676	243998	62351
677	244256	61964
678	244477	61569
679	244721	61180
680	244950	60787
681	245312	60428
682	245627	60058
683	245838	59662
684	246117	59283
685	246343	58892
686	246611	58511
687	246835	58121
688	247114	57743
689	247378	57363
690	247660	56986
691	247936	56609
692	248150	56218
693	248364	55828
694	248657	55455
695	248870	55066
696	249080	54676
697	249384	54307
698	249621	53923
699	249970	53565
700	250294	53200
701	250604	52833
702	250917	52467
703	251136	52082
704	251388	51704
705	251662	51330
706	251925	50955
707	252275	50597
708	252498	50214
709	252824	49852
710	253167	49494
711	253433	49120
712	253768	48760
713	253980	48377
714	254288	48012
715	254613	47651
716	254943	47290
717	255276	46931
718	255499	46551
719	255722	46172
720	256048	45811
721	256259	45431
722	256559	45066
723	256771	44686
724	257112	44329
725	257323	43950
726	257570	43578
727	257827	43207
728	258107	42840
729	258367	42471
730	258575	42093
731	258801	41719
732	259046	41348
733	259299	40979
734	259533	40607
735	259762	40234
736	259983	39861
737	260225	39492
738	260464	39122
739	260763	38762
740	261029	38397
741	261398	38047
742	261637	37678
743	262021	37330
744	262281	36965
745	262577	36605
746	262890	36248
747	263189	35889
748	263409	35519
749	263626	35150
750	263922	34791
751	264148	34423
752	264371	34055
753	264709	33703
754	264981	33342
755	265285	32985
756	265528	32621
757	265765	32256
758	266088	31902
759	266451	31553
760	266677	31188
761	266918	30825
762	267291	30477
763	267520	30113
764	267744	29749
765	268040	29393
766	268290	29032
767	268508	28668
768	268718	28304
769	268943	27942
770	269279	27591
771	269644	27243
772	269874	26882
773	270087	26520
774	270333	26161
775	270556	25800
776	270920	25453
777	271162	25094
778	271466	24742
779	271710	24384
780	271951	24026
781	272173	23667
782	272466	23314
783	272733	22959
784	272985	22603
785	273241	22248
786	273561	21898
787	273770	21540
788	274089	21190
789	274323	20834
790	274565	20479
791	274816	20125
792	275079	19772
793	275471	19428
794	275738	19076
795	275961	18721
796	276300	18373
797	276547	18020
798	276772	17666
799	277113	17319
800	277399	16969
801	277668	16618
802	277921	16266
803	278222	15918
804	278538	15570
805	278753	15217
806	279101	14871
807	279346	14520
808	279580	14169
809	279785	13816
810	280002	13464
811	280371	13120
812	280577	12769
813	280843	12420
814	281055	12069
815	281392	11724
816	281624	11375
817	281850	11025
818	282117	10678
819	282331	10329
820	282615	9982
821	282842	9634
822	283055	9286
823	283282	8938
824	283554	8592
825	283799	8245
826	284044	7899
827	284369	7555
828	284579	7208
829	284793	6862
830	285009	6516
831	285272	6171
832	285494	5826
833	285754	5482
834	285987	5137
835	286296	4794
836	286526	4450
837	286790	4106
838	287038	3763
839	287302	3420
840	287635	3078
841	287861	2735
842	288181	2392
843	288414	2050
844	288641	1707
845	288852	1365
846	289074	1023
847	289298	682
848	289533	341
849	289767	0
