iter	Logloss
0	0.6762628491
1	0.661792202
2	0.6490709674
3	0.6371116088
4	0.6267170723
5	0.6178638434
6	0.6103143445
7	0.6033273947
8	0.5967376252
9	0.5905233155
10	0.5849096135
11	0.5797895195
12	0.5753099498
13	0.5710309885
14	0.566990566
15	0.5630894352
16	0.5596402018
17	0.5564043911
18	0.5534944488
19	0.5508304135
20	0.5480580971
21	0.5457741349
22	0.5435932639
23	0.5409985542
24	0.5388554855
25	0.5370128168
26	0.5351572376
27	0.533258314
28	0.5316845219
29	0.5300425897
30	0.5286663306
31	0.527091994
32	0.5257698433
33	0.5243028908
34	0.5229614546
35	0.5217155493
36	0.5204495895
37	0.5192129425
38	0.5181574581
39	0.5170918825
40	0.5160215975
41	0.5151309054
42	0.5141616295
43	0.5133469584
44	0.5124191688
45	0.5114199393
46	0.5106559169
47	0.5098654008
48	0.5090260301
49	0.508275719
50	0.5076043122
51	0.5068396811
52	0.50616805
53	0.5053757719
54	0.5047550457
55	0.5040957484
56	0.5035387415
57	0.5030314221
58	0.5024970005
59	0.5019057473
60	0.5012313611
61	0.5006162412
62	0.5001626139
63	0.4997258374
64	0.4991806197
65	0.4987129927
66	0.4982511001
67	0.4977549293
68	0.4973802062
69	0.4969965772
70	0.4965840198
71	0.4961656319
72	0.4957366722
73	0.4953275747
74	0.4949102119
75	0.4945619504
76	0.4942019318
77	0.4937875804
78	0.4934406324
79	0.4930809662
80	0.492720403
81	0.4924103602
82	0.4920914436
83	0.4917072059
84	0.4914124442
85	0.4908799447
86	0.4905720804
87	0.4902852957
88	0.4900237232
89	0.4897503294
90	0.4894752057
91	0.489158852
92	0.4887420018
93	0.4884771616
94	0.4881726611
95	0.4877354041
96	0.4874856848
97	0.4872668481
98	0.4870233758
99	0.4867745855
100	0.4865322025
101	0.4863346375
102	0.4860911012
103	0.4858898521
104	0.4856291766
105	0.485387242
106	0.4851709041
107	0.4848919681
108	0.484646798
109	0.4843558806
110	0.4841232364
111	0.483893892
112	0.4836961668
113	0.4835338093
114	0.4832521503
115	0.4830454231
116	0.4828198268
117	0.4826300466
118	0.4824221661
119	0.4822705405
120	0.4820511592
121	0.4818635253
122	0.481695145
123	0.4815057812
124	0.4813136304
125	0.4811458908
126	0.4809857757
127	0.4807738907
128	0.4805265742
129	0.4803714247
130	0.4801872187
131	0.4800320691
132	0.4798892534
133	0.4797652107
134	0.47963223
135	0.4794570901
136	0.4792601659
137	0.4791214508
138	0.4789897515
139	0.4788197694
140	0.4786692651
141	0.478523438
142	0.4783834735
143	0.478256996
144	0.478021789
145	0.4778955678
146	0.477758038
147	0.4775694431
148	0.4773641255
149	0.4772255385
150	0.4771058206
151	0.4769252347
152	0.4767760118
153	0.4766625088
154	0.4765277982
155	0.4763817469
156	0.4762759646
157	0.4761380824
158	0.4760182043
159	0.4758831412
160	0.4757468288
161	0.4755804347
162	0.4754462687
163	0.4753376032
164	0.475231917
165	0.4751271598
166	0.4750107416
167	0.4748990327
168	0.4747883489
169	0.4746589882
170	0.4745626885
171	0.4744600457
172	0.4743478563
173	0.4742076675
174	0.4740710027
175	0.4739595821
176	0.4738467839
177	0.4737379582
178	0.4736345786
179	0.4735241191
180	0.4734151652
181	0.473325529
182	0.4732420756
183	0.4731345955
184	0.4729924845
185	0.4729037132
186	0.4727549068
