iter	Logloss
187	0.472629006
188	0.4725137411
189	0.4724171851
190	0.4723443997
191	0.472185438
192	0.4720941999
193	0.471986047
194	0.4719014083
195	0.4717989578
196	0.4716731531
197	0.4715762767
198	0.4714560783
199	0.4713731375
200	0.471256367
201	0.471156223
202	0.4710478458
203	0.4709637197
204	0.4708589625
205	0.4707611892
206	0.470656368
207	0.4705646174
208	0.4704590273
209	0.4703323896
210	0.4702347124
211	0.4700513714
212	0.4699808285
213	0.4698923455
214	0.4698148188
215	0.4697296035
216	0.4696027096
217	0.4695264323
218	0.4694398395
219	0.4693496266
220	0.4692415057
221	0.4691503958
222	0.4690731894
223	0.4689772742
224	0.4688858439
225	0.4688057864
226	0.4687149648
227	0.4685367175
228	0.4684296858
229	0.4683499806
230	0.468267168
231	0.4681760581
232	0.4681100643
233	0.4680148859
234	0.467945272
235	0.4678827061
236	0.4677801594
237	0.4676996534
238	0.4676258108
239	0.4675472269
240	0.4674132851
241	0.4673367515
242	0.4672713664
243	0.4672082558
244	0.4671396991
245	0.4670723598
246	0.4669877853
247	0.4668992382
248	0.466780129
249	0.4667079523
250	0.4666323798
251	0.4665591459
252	0.4664994631
253	0.4664257487
254	0.4663627983
255	0.4662633271
256	0.4661921755
257	0.466129161
258	0.4660359368
259	0.4659105485
260	0.4658376991
261	0.465748223
262	0.4656634242
263	0.4655520676
264	0.4654878999
265	0.4654338554
266	0.4653730835
267	0.4653044307
268	0.4652030053
269	0.4651038544
270	0.4650437231
271	0.4649589563
272	0.4648861069
273	0.4648000266
274	0.4646962626
275	0.4646207862
276	0.464551781
277	0.464471339
278	0.4643750393
279	0.4642705064
280	0.464178916
281	0.4641123455
282	0.4640457431
283	0.4639847468
284	0.4639137555
285	0.4638156297
286	0.4637296776
287	0.4636421557
288	0.4635850999
289	0.4635269549
290	0.4634693545
291	0.4634168798
292	0.463323207
293	0.4632680413
294	0.4631941987
295	0.4631159993
296	0.463062051
297	0.4630117227
298	0.4629481316
299	0.4628901788
300	0.4628393699
301	0.4627805842
302	0.4627105859
303	0.4626537223
304	0.4625964743
305	0.46253
306	0.4624766923
307	0.4623876648
308	0.462334197
309	0.4622674663
310	0.4622177147
311	0.4621465311
312	0.462057952
313	0.4619979169
314	0.4619446734
315	0.4618843179
316	0.4618247953
317	0.4617540922
318	0.4616729455
319	0.4616203106
320	0.461559859
321	0.4615066795
322	0.4614500402
323	0.4613832455
324	0.4612742596
325	0.461217396
326	0.4611653698
327	0.4610980626
328	0.461042096
329	0.4609854887
330	0.4609359613
331	0.4608861456
332	0.4608194149
333	0.4607590915
334	0.4607079943
335	0.4606454924
336	0.460593242
337	0.4605219303
338	0.460460037
339	0.4603979196
340	0.4603482961
341	0.4602747738
342	0.4602254707
343	0.4601557928
344	0.460096943
345	0.4600460701
346	0.4599991696
347	0.459940512
348	0.4598768248
349	0.4597961266
350	0.4597444528
351	0.4596978406
352	0.4596513887
353	0.4595815826
354	0.4595238541
355	0.4594666701
356	0.4593854273
357	0.459311905
358	0.4592583411
359	0.4591934045
360	0.4591489388
361	0.4591082213
362	0.4590656456
363	0.459013171
364	0.458882657
365	0.458835244
366	0.4587836343
367	0.4587313838
368	0.4586761861
369	0.4586101282
370	0.4585605368
371	0.4585061399
372	0.4584547865
373	0.4583917079
374	0.4583217417
375	0.4582662557
376	0.4582052274
377	0.4581025846
378	0.4579969305
379	0.4579452887
380	0.4578989008
381	0.4578510393
382	0.4578075346
383	0.4577644144
384	0.4577194041
385	0.4576644626
386	0.4576070224
387	0.4575605384
388	0.4575220314
389	0.4574648794
390	0.4574177227
391	0.4573574313
392	0.4573136063
393	0.4572424227
394	0.4571907168
395	0.4571414778
396	0.4570777265
397	0.4570325239
398	0.4569911657
399	0.4569455146
400	0.4569006645
401	0.4568518098
402	0.4568079207
403	0.4567539404
404	0.4566888756
405	0.4566323003
406	0.4565900771
407	0.4565449066
408	0.4564883954
409	0.4564471973
410	0.4563956837
411	0.456353909
412	0.4563050223
413	0.4562519069
414	0.456202764
415	0.4561632958
416	0.4561244043
417	0.4560352166
418	0.4559834467
419	0.4558817009
420	0.4558370109
421	0.4557945635
422	0.4557415442
423	0.4556604935
424	0.4556103575
425	0.4555638735
426	0.4555234122
427	0.4554826306
428	0.4554159961
429	0.4553772968
430	0.4553337281
431	0.4552954773
432	0.4552449248
433	0.4552002989
434	0.4551525014
435	0.4551100219
436	0.4550372686
437	0.4549848259
438	0.4549269692
439	0.4548873089
440	0.4548397997
441	0.4547963591
442	0.4547451339
443	0.4547083247
444	0.454668376
445	0.4546248073
446	0.4545823278
447	0.4545409055
448	0.4544998035
449	0.4544622575
450	0.4544120253
451	0.4543710835
452	0.4543254966
453	0.4542880467
454	0.4542337139
455	0.4541863009
456	0.454139913
457	0.4541030398
458	0.4540685372
459	0.4540124425
460	0.4539728782
461	0.4539314239
462	0.4538928527
463	0.453854634
464	0.4538091751
465	0.4537689702
466	0.4537263946
467	0.453676675
468	0.4536121868
469	0.4535693549
470	0.4535206605
471	0.4534769316
472	0.453428109
473	0.4533804397
474	0.4533316171
475	0.4532847166
476	0.4532407955
477	0.4531934786
478	0.4531532095
479	0.4531065974
480	0.4530656236
481	0.4530235926
482	0.4529838361
483	0.4529419973
484	0.4528944882
485	0.4528563335
486	0.4528143346
487	0.4527743859
488	0.4527255633
489	0.4526809374
490	0.4526324672
491	0.4525905643
492	0.4525485013
493	0.45250977
494	0.4524687961
495	0.4524220238
496	0.4523790638
497	0.4523395316
498	0.4522873773
499	0.4522479091
500	0.4522096583
501	0.4521717279
502	0.4521304017
503	0.4520746273
504	0.4520346146
505	0.4519818836
506	0.4519462598
507	0.4519066955
508	0.4518683807
509	0.4518264458
510	0.4517731061
511	0.4517358805
512	0.4516865774
513	0.4516517865
514	0.4516173159
515	0.4515810193
516	0.4515310114
517	0.4514960603
518	0.4514470775
519	0.4513964609
520	0.4513385081
521	0.4512960286
522	0.4512438102
523	0.4512041498
524	0.4511651943
525	0.4511149301
526	0.4510778005
527	0.4510392935
528	0.4510014592
529	0.4509632725
530	0.4509151226
531	0.4508793066
532	0.4508419848
533	0.4508068095
534	0.4507662842
535	0.4507283537
536	0.4506953568
537	0.4506495136
538	0.4506056886
539	0.4505698725
540	0.4505271688
541	0.4504905198
542	0.4504454774
543	0.4504022931
544	0.4503595573
545	0.4503161167
546	0.4502665253
547	0.450216229
548	0.4501557454
549	0.450116053
550	0.4500773537
551	0.4500328559
552	0.4499937722
553	0.4499515811
554	0.4499146437
555	0.4498760406
556	0.4498408012
557	0.4497967839
558	0.4497543365
559	0.4497030791
560	0.4496632586
561	0.4496229896
562	0.4495898325
563	0.4495519021
564	0.4495088459
565	0.4494725493
566	0.4494317357
567	0.4493915628
568	0.4493516461
569	0.4493047457
570	0.4492630671
571	0.4492256172
572	0.4491881993
573	0.4491504611
574	0.4491093912
575	0.4490568204
576	0.4490204277
577	0.4489754174
578	0.4489329379
579	0.4488931494
580	0.4488497408
581	0.4488065886
582	0.4487726626
583	0.4487374873
584	0.4486976668
585	0.448658551
586	0.4486230553
587	0.4485765713
588	0.4485361742
589	0.4484946557
590	0.4484487484
591	0.4483992851
592	0.448361643
593	0.448324994
594	0.4482860384
595	0.448246314
596	0.4482040587
597	0.4481642382
598	0.4481306967
599	0.4480924139
600	0.4480507353
601	0.448010274
602	0.4479737211
603	0.4479361752
604	0.447894016
605	0.4478562137
606	0.447818027
607	0.4477825634
608	0.4477448572
609	0.4476944648
610	0.447651665
611	0.4476145995
612	0.4475811541
613	0.4475436402
614	0.4475065106
615	0.4474713033
616	0.4474355513
617	0.4473997352
618	0.4473576402
619	0.4473183963
620	0.4472733219
621	0.4472352313
622	0.4471917907
623	0.4471428399
624	0.4470954589
625	0.4470576567
626	0.4470058547
627	0.4469568079
628	0.4469135595
629	0.4468731303
630	0.4468277035
631	0.4467928165
632	0.4467465247
633	0.4467086263
634	0.4466685816
635	0.4466317083
636	0.4465985192
637	0.4465602684
638	0.4465234913
639	0.4464846639
640	0.4464331823
641	0.4463958606
642	0.4463578661
643	0.4463177252
644	0.4462806277
645	0.4462459649
646	0.446207554
647	0.4461663239
648	0.4461325261
649	0.4460886049
650	0.4460428898
651	0.4460005385
652	0.4459699122
653	0.4459372036
654	0.4458943717
655	0.4458557686
656	0.4458084837
657	0.4457643703
658	0.4457316618
659	0.4456919373
660	0.4456548719
661	0.44561739
662	0.4455747503
663	0.4455393187
664	0.4455019649
665	0.4454577554
666	0.4454193765
667	0.4453798443
668	0.4453362756
669	0.4453013886
670	0.4452554492
671	0.445218576
672	0.4451839132
673	0.4451461109
674	0.4451084688
675	0.4450731653
676	0.4450321274
677	0.4449940369
678	0.4449621612
679	0.4449282673
680	0.4448930599
681	0.4448563789
682	0.4448204347
683	0.4447868291
684	0.4447583813
685	0.4447170551
686	0.4446747358
687	0.4446411943
688	0.4445987147
689	0.4445624502
690	0.4445210279
691	0.4444719169
692	0.4444387919
693	0.4444038728
694	0.4443677685
695	0.44431728
696	0.4442803427
697	0.444237671
698	0.4441925966
699	0.4441563641
700	0.4441217333
701	0.4440774598
702	0.4440289896
703	0.4439909631
704	0.4439480351
705	0.4439120268
706	0.443878261
707	0.4438276124
708	0.4437927254
709	0.443750374
710	0.4437127319
711	0.4436706048
712	0.4436370313
713	0.4436024005
714	0.4435528091
715	0.4435155514
716	0.4434653513
717	0.443430208
718	0.443385486
719	0.443349798
720	0.4433132772
721	0.4432695483
722	0.4432371921
723	0.4432009596
724	0.4431650154
725	0.4431268928
726	0.4430858228
727	0.4430483089
728	0.4430161769
729	0.4429779902
730	0.4429465311
731	0.4429096578
732	0.4428658969
733	0.4428296323
734	0.4427912534
735	0.4427596981
736	0.4427284632
737	0.442688034
738	0.4426447215
739	0.4426065348
740	0.4425602431
741	0.4425271821
742	0.4424889313
743	0.4424508407
744	0.4424149285
745	0.4423749799
746	0.4423395482
747	0.4423012334
748	0.4422631748
749	0.4422340222
750	0.4422012175
751	0.4421602117
752	0.4421244597
753	0.4420691338
754	0.4420295055
755	0.4419938817
756	0.4419592509
757	0.4419238193
758	0.4418723057
759	0.4418228104
760	0.4417843033
761	0.4417507297
762	0.441710717
763	0.4416805072
764	0.4416381558
765	0.4416050949
766	0.4415643773
767	0.4415272799
768	0.441491624
769	0.4414553274
770	0.4414126557
771	0.441332502
772	0.4412875878
773	0.4412501379
774	0.4412133928
775	0.441184945
776	0.441149161
777	0.4411100773
778	0.441061575
779	0.4410200566
780	0.4409758792
781	0.4409406718
782	0.4409070983
783	0.4408730122
784	0.4408253429
785	0.4407888861
786	0.4407502829
787	0.440717286
788	0.4406777218
789	0.4406456539
790	0.4406039433
791	0.4405664934
792	0.440533945
793	0.4404780425
794	0.4404403042
795	0.4404070831
796	0.4403724203
797	0.4403313824
798	0.4403051451
799	0.4402590135
800	0.4402064747
801	0.4401652446
802	0.4401304858
803	0.4400849308
804	0.4400486983
805	0.4400132026
806	0.4399855877
807	0.4399450624
808	0.4399096308
809	0.4398741671
810	0.4398419391
811	0.4398038164
812	0.4397697624
813	0.4397347472
814	0.4396983545
815	0.4396605843
816	0.439625473
817	0.4395853001
818	0.4395401616
819	0.4395072928
820	0.4394702914
821	0.4394330979
822	0.4393977944
823	0.4393667517
824	0.4393365739
825	0.4393013025
826	0.4392592394
827	0.4392277162
828	0.4391868385
829	0.4391520796
830	0.4391180896
831	0.4390829783
832	0.4390464575
833	0.4390150623
834	0.4389828023
835	0.4389484599
836	0.438912772
837	0.4388775005
838	0.4388345084
839	0.4388007747
840	0.438765279
841	0.4387248498
842	0.4386898987
843	0.4386575105
844	0.4386217905
845	0.4385887296
846	0.4385545473
847	0.4385182187
848	0.4384831395
849	0.4384488932
